LOAN_ID,snapshot_date,nps_score,nps_category,BALANCE,TOTAL_PAID,ARREARS,DAYS_PAST_DUE,BALANCE_DUE_STATUS,ACCOUNT_STATUS_L2,happy_with_device_quality,happy_with_service,experienced_payment_delay,difficulty_getting_support,phone_locked_despite_payment,PRODUCT_NAME,LOAN_TERM,dpd_bucket,payment_performance
recVadGttZldTE8wW,2025-12-30,1.0,Detractor,13860.0,31009,0.0,0,up to date,Active,Yes,No,Yes,Yes,No,Samsung-Galaxy-A16-128GB,12M,Current,Good
recVaqYm2lR4cMgfF,2025-12-30,8.0,Passive,40600.0,39349,0.0,0,up to date,Active,Yes,No,No,Yes,No,Samsung-Galaxy-S21-Ultra-128GB,12M,Current,Good
recVbAZPr5PlhvsRD,2025-12-30,2.0,Detractor,9780.0,61139,9780.0,282,Arrears,Return,,,,,,Samsung-Note-10-256GB,12M,90+ DPD,Poor
recVbFZEzgV03AbKm,2025-12-30,3.0,Detractor,14690.0,51339,0.0,0,up to date,Active,,,,,,Samsung-Note-10-256GB,12M,Current,Good
recVcN06YzUKprmGu,2025-12-30,10.0,Promoter,0.0,86979,0.0,0,up to date,Paid Off,Yes,Yes,No,No,No,Samsung-Note-10-Plus-256GB,12M,Current,Good
recVcNx8Upfkgqyw4,2025-12-30,10.0,Promoter,42080.0,20699,10760.0,65,Arrears,PAR 30,Yes,Yes,No,No,No,Samsung-Galaxy-S21-Plus-5G-128GB,12M,61-90 DPD,Poor
recVe6IPbGIjdwihH,2025-12-30,9.0,Promoter,89000.0,100189,0.0,0,advance,Active,Yes,Yes,,,,Samsung-Galaxy-S24-Ultra-256GB,12M,Current,Unknown
recVeb3nsKPemvjIK,2025-12-30,4.0,Detractor,0.0,67719,100.0,0,Arrears,Paid Off,,,,,,Samsung-Note-20-128GB,12M,Current,Fair
recVfo3B3ITnxGaCD,2025-12-30,8.0,Passive,0.0,45559,0.0,0,up to date,Paid Off,Yes,Yes,Yes,Yes,Yes,Samsung-Galaxy-S10-128GB,12M,Current,Good
recVhO6DhvV8SCL6R,2025-12-30,7.0,Passive,29490.0,27999,0.0,0,advance,Active,Yes,Yes,Yes,No,No,Samsung-Galaxy-S20-Plus-5G-128GB,12M,Current,Unknown
recViF2OEkR9xCgdO,2025-12-30,10.0,Promoter,79900.0,64174,0.0,0,advance,Active,Yes,Yes,Yes,Yes,Yes,Apple-iPhone-14-Pro-256GB,12M,Current,Unknown
recVjZgMs4MWCliO4,2025-12-30,0.0,Detractor,0.0,46989,0.0,0,up to date,Paid Off,No,No,Yes,Yes,Yes,Samsung-Galaxy-A15-128GB,12M,Current,Good
recVleGfvUixsFTBz,2025-12-30,10.0,Promoter,19950.0,35399,3800.0,21,Arrears,PAR 30,Yes,Yes,No,No,No,Samsung-Note-20-128GB,12M,1-30 DPD,Fair
