snapshot_date,total_loans,total_balance,total_payments,total_arrears,avg_days_past_due,active_loans,fpd_loans,paid_off_loans,inactive_loans,up_to_date_count,arrears_count,advance_count,up_to_date_balance,arrears_balance,total_arrears_amount,dpd_0,dpd_1_30,dpd_31_60,dpd_61_90,dpd_90_plus,galaxy_s_loans,galaxy_a_loans,note_loans,iphone_loans,term_12m_loans,term_18m_loans,term_24m_loans,returned_devices,arrears_rate_pct,fpd_rate_pct,paid_off_rate_pct,arrears_balance_pct,payment_collection_pct
2025-01-01,8935,368013877.0,301648691.0,102785426.0,69.3987965556593,3891,609,1261,262,1819,5428,0,67945750.0,237480928.0,102785426.0,5167,615,328,323,2502,4220,1483,2447,749,8930,0,0,986,60.74986,6.815892,14.113039,27.92976907226789,81.96666208866901
2025-03-31,11024,450381735.80000013,414529693.0,156683435.0,85.36633420536299,4216,712,1913,184,2389,6743,0,84267780.0,292687634.79999995,156683435.0,6156,624,456,349,3439,5094,1799,3198,897,10989,0,0,1184,61.166542,6.458636,17.353048,34.78902951552592,92.03963217195805
2025-06-30,13891,654604609.6000003,589528600.0,220521784.39999995,86.7551249648975,4939,801,2865,217,3304,8119,0,150097450.0,376221116.20000005,220521784.39999995,7856,686,451,406,4492,6098,2269,4316,1171,13785,0,0,1401,58.447914,5.7663236,20.624866,33.6877836125766,90.05873031664636
2025-09-30,16864,782791939.4000002,795530935.0,289263085.1999999,97.00245991653854,5373,903,4025,312,4483,9513,0,191158630.0,461950076.4000001,289263085.1999999,9449,842,515,439,5619,7295,2956,5172,1404,16155,0,0,1568,56.410103,5.3546014,23.86741,36.95274192804238,101.62737950645788
2025-12-30,20742,1888435834.7999997,1284222778.0,376604455.6,68.99640028797697,5972,1135,5349,831,5759,11807,0,720645320.0,830473653.8000002,376604455.6,11348,1521,653,481,6739,9287,3388,6040,1940,19373,0,0,1743,56.92315,5.471989,25.788256,19.942666235195937,68.00457576235357
